Timestamp,VALCCG:D10_L02:PRES,BM_DCCT:LCUR
2024/10/21 08:56:32.136,N/A,1493.7107999999998
2024/10/21 08:56:32.461,3.428063044316951e-7,N/A
2024/10/21 08:56:33.136,N/A,1497.6379
2024/10/21 08:56:33.461,3.4337378178906046e-7,N/A
2024/10/21 08:56:34.136,N/A,1500.6923
2024/10/21 08:56:34.461,3.443048678641833e-7,N/A
2024/10/21 08:56:35.136,N/A,1501.1974
2024/10/21 08:56:35.461,3.439820752646255e-7,N/A
2024/10/21 08:56:36.136,N/A,1498.1620999999998
2024/10/21 08:56:36.462,3.4542778757618454e-7,N/A
2024/10/21 08:56:37.136,N/A,1495.8965
2024/10/21 08:56:37.461,3.45191031826352e-7,N/A
2024/10/21 08:56:38.136,N/A,1492.5662999999997
2024/10/21 08:56:38.461,3.4212631815406004e-7,N/A
2024/10/21 08:56:39.136,N/A,1491.5430999999999
2024/10/21 08:56:39.461,3.433984603514129e-7,N/A
2024/10/21 08:56:40.136,N/A,1494.4298999999999
2024/10/21 08:56:40.461,3.438357629643289e-7,N/A
2024/10/21 08:56:41.136,N/A,1498.4065999999998
2024/10/21 08:56:41.461,3.4402141520437484e-7,N/A
2024/10/21 08:56:42.136,N/A,1502.1034
2024/10/21 08:56:42.461,3.436895128977672e-7,N/A
2024/10/21 08:56:43.136,N/A,1502.1145
2024/10/21 08:56:43.461,3.451883156022047e-7,N/A
2024/10/21 08:56:44.136,N/A,1499.8700999999999
2024/10/21 08:56:44.461,3.425983027143372e-7,N/A
2024/10/21 08:56:45.136,N/A,1497.1248
2024/10/21 08:56:45.461,3.427572139943732e-7,N/A
2024/10/21 08:56:46.136,N/A,1494.1976
2024/10/21 08:56:46.462,3.435296287466373e-7,N/A
2024/10/21 08:56:47.136,N/A,1492.4491999999998
2024/10/21 08:56:47.461,3.4374144167865266e-7,N/A
2024/10/21 08:56:48.136,N/A,1496.1551
2024/10/21 08:56:48.461,3.453533197241487e-7,N/A
2024/10/21 08:56:49.136,N/A,1500.1095
2024/10/21 08:56:49.461,3.4355251627731154e-7,N/A
2024/10/21 08:56:50.136,N/A,1500.8085
2024/10/21 08:56:50.461,3.4516115453623084e-7,N/A
2024/10/21 08:56:51.136,N/A,1497.7147
2024/10/21 08:56:51.462,3.436491292696245e-7,N/A
2024/10/21 08:56:52.136,N/A,1495.5076999999999
2024/10/21 08:56:52.461,3.4462326294364394e-7,N/A
2024/10/21 08:56:53.136,N/A,1492.8522
2024/10/21 08:56:53.461,3.431953203234511e-7,N/A
2024/10/21 08:56:54.136,N/A,1491.7744999999998
2024/10/21 08:56:54.461,3.424477285983767e-7,N/A
2024/10/21 08:56:55.136,N/A,1494.6056999999998
2024/10/21 08:56:55.461,3.4371655815883336e-7,N/A
2024/10/21 08:56:56.136,N/A,1499.0105999999998
2024/10/21 08:56:56.462,3.4373819589999596e-7,N/A
2024/10/21 08:56:57.136,N/A,1503.0770999999997
2024/10/21 08:56:57.461,3.4128024585089747e-7,N/A
2024/10/21 08:56:58.136,N/A,1503.1275999999998
2024/10/21 08:56:58.461,3.4266804203022645e-7,N/A
2024/10/21 08:56:59.136,N/A,1500.5013999999999
2024/10/21 08:56:59.461,3.4415877934594673e-7,N/A
2024/10/21 08:57:00.136,N/A,1497.9600999999998
2024/10/21 08:57:00.461,3.435728820550999e-7,N/A
2024/10/21 08:57:01.136,N/A,1494.7743999999998
2024/10/21 08:57:01.461,3.42861337235003e-7,N/A
2024/10/21 08:57:02.136,N/A,1493.1177999999998
2024/10/21 08:57:02.462,3.4490160259842254e-7,N/A
2024/10/21 08:57:03.136,N/A,1497.8025
2024/10/21 08:57:03.461,3.438772508816528e-7,N/A
2024/10/21 08:57:04.136,N/A,1500.9256999999998
2024/10/21 08:57:04.461,3.450195894554671e-7,N/A
2024/10/21 08:57:05.136,N/A,1501.6812
2024/10/21 08:57:05.461,3.454428280448617e-7,N/A
2024/10/21 08:57:06.136,N/A,1498.9883999999997
2024/10/21 08:57:06.461,3.4230925167820513e-7,N/A
2024/10/21 08:57:07.136,N/A,1495.8682999999999
2024/10/21 08:57:07.461,3.4399254141485414e-7,N/A
2024/10/21 08:57:08.136,N/A,1493.0006999999998
2024/10/21 08:57:08.461,3.4070872159656436e-7,N/A
2024/10/21 08:57:09.136,N/A,1492.5835
2024/10/21 08:57:09.461,3.4385307905162327e-7,N/A
2024/10/21 08:57:10.136,N/A,1496.0631999999998
2024/10/21 08:57:10.461,3.456647057093915e-7,N/A
2024/10/21 08:57:11.136,N/A,1499.9732
2024/10/21 08:57:11.461,3.445117369699777e-7,N/A
2024/10/21 08:57:12.136,N/A,1503.7205
2024/10/21 08:57:12.461,3.420252888645385e-7,N/A
2024/10/21 08:57:13.136,N/A,1504.6114
2024/10/21 08:57:13.461,3.449920797095722e-7,N/A
2024/10/21 08:57:14.136,N/A,1502.0538999999999
2024/10/21 08:57:14.461,3.435820740847177e-7,N/A
2024/10/21 08:57:15.136,N/A,1499.3266999999998
2024/10/21 08:57:15.461,3.443204013155508e-7,N/A
2024/10/21 08:57:16.136,N/A,1496.0197999999998
2024/10/21 08:57:16.461,3.461168775656953e-7,N/A
2024/10/21 08:57:17.136,N/A,1493.637
2024/10/21 08:57:17.461,3.4653219100447866e-7,N/A
2024/10/21 08:57:18.136,N/A,1492.0714
2024/10/21 08:57:18.461,3.46261980811429e-7,N/A
2024/10/21 08:57:19.136,N/A,1496.5298999999998
2024/10/21 08:57:19.461,3.442380458916559e-7,N/A
2024/10/21 08:57:20.136,N/A,1499.5711999999999
2024/10/21 08:57:20.461,3.4412863035009355e-7,N/A
2024/10/21 08:57:21.136,N/A,1504.1397
2024/10/21 08:57:21.461,3.414530542893451e-7,N/A
2024/10/21 08:57:22.136,N/A,1503.1104
2024/10/21 08:57:22.461,3.426331705979461e-7,N/A
2024/10/21 08:57:23.136,N/A,1501.0458999999998
2024/10/21 08:57:23.461,3.416917274136409e-7,N/A
2024/10/21 08:57:24.136,N/A,1498.3379
2024/10/21 08:57:24.461,3.4432509761322667e-7,N/A
2024/10/21 08:57:25.136,N/A,1495.6429999999998
2024/10/21 08:57:25.461,3.4356477164495474e-7,N/A
2024/10/21 08:57:26.136,N/A,1492.3632999999998
2024/10/21 08:57:26.462,3.4553072821569783e-7,N/A
2024/10/21 08:57:27.136,N/A,1491.1946999999998
