Timestamp,BM_DCCT:LCUR,VALCCG:D10_L02:PRES
2024/10/28 02:52:59.136,1144.1060999999997,N/A
2024/10/28 02:52:59.461,N/A,1.880917938512231e-7
2024/10/28 02:53:00.136,1144.4677,N/A
2024/10/28 02:53:00.461,N/A,1.884560300973324e-7
2024/10/28 02:53:01.136,1145.1979999999999,N/A
2024/10/28 02:53:01.461,N/A,1.8878291297083235e-7
2024/10/28 02:53:02.136,1145.7394,N/A
2024/10/28 02:53:02.461,N/A,1.8874072258324225e-7
2024/10/28 02:53:03.136,1146.1515,N/A
2024/10/28 02:53:03.461,N/A,1.893731557685951e-7
2024/10/28 02:53:04.136,1143.6223,N/A
2024/10/28 02:53:04.461,N/A,1.8951308987918792e-7
2024/10/28 02:53:05.136,1141.1335,N/A
2024/10/28 02:53:05.461,N/A,1.9027174802491734e-7
2024/10/28 02:53:06.137,1138.7233999999999,N/A
2024/10/28 02:53:06.461,N/A,1.8992633428691076e-7
2024/10/28 02:53:07.136,1135.9064,N/A
2024/10/28 02:53:07.461,N/A,1.8999591650012104e-7
2024/10/28 02:53:08.136,1134.5498,N/A
2024/10/28 02:53:08.461,N/A,1.8989443249610413e-7
2024/10/28 02:53:09.136,1135.87,N/A
2024/10/28 02:53:09.461,N/A,1.8959110180916887e-7
2024/10/28 02:53:10.136,1138.3799999999999,N/A
2024/10/28 02:53:10.461,N/A,1.8948267215957964e-7
2024/10/28 02:53:11.136,1139.5647999999999,N/A
2024/10/28 02:53:11.462,N/A,1.891664935693832e-7
2024/10/28 02:53:12.136,1142.6162,N/A
2024/10/28 02:53:12.461,N/A,1.8908539177501637e-7
2024/10/28 02:53:13.136,1143.5060999999998,N/A
2024/10/28 02:53:13.461,N/A,1.886909694236234e-7
2024/10/28 02:53:14.136,1146.3444,N/A
2024/10/28 02:53:14.461,N/A,1.8864959183245978e-7
2024/10/28 02:53:15.136,1147.5656,N/A
2024/10/28 02:53:15.461,N/A,1.8966171170236086e-7
2024/10/28 02:53:16.136,1149.9977999999999,N/A
2024/10/28 02:53:16.461,N/A,1.9027307980016714e-7
2024/10/28 02:53:17.136,1150.6462999999999,N/A
2024/10/28 02:53:17.461,N/A,1.9069162958147354e-7
2024/10/28 02:53:18.136,1153.1896,N/A
2024/10/28 02:53:18.461,N/A,1.9106054374949186e-7
2024/10/28 02:53:19.136,1154.3502,N/A
2024/10/28 02:53:19.461,N/A,1.9131479818106213e-7
2024/10/28 02:53:20.136,1156.8824,N/A
2024/10/28 02:53:20.461,N/A,1.9107552200264435e-7
2024/10/28 02:53:21.136,1157.6198,N/A
2024/10/28 02:53:21.462,N/A,1.9118067028446383e-7
2024/10/28 02:53:22.136,1159.7995,N/A
2024/10/28 02:53:22.461,N/A,1.911245661656187e-7
2024/10/28 02:53:23.136,1161.4025,N/A
2024/10/28 02:53:23.461,N/A,1.912116282539373e-7
2024/10/28 02:53:24.136,1164.2155,N/A
2024/10/28 02:53:24.461,N/A,1.9174762852199602e-7
2024/10/28 02:53:25.136,1164.6186,N/A
2024/10/28 02:53:25.461,N/A,1.9217919621562061e-7
2024/10/28 02:53:26.136,1167.2003,N/A
2024/10/28 02:53:26.462,N/A,1.926354641234173e-7
2024/10/28 02:53:27.136,1168.0497999999998,N/A
2024/10/28 02:53:27.461,N/A,1.933417446764255e-7
2024/10/28 02:53:28.136,1170.0729,N/A
2024/10/28 02:53:28.467,N/A,1.9351341401487497e-7
2024/10/28 02:53:29.136,1170.7324999999998,N/A
2024/10/28 02:53:29.461,N/A,1.9390153947410372e-7
2024/10/28 02:53:30.136,1172.7648,N/A
2024/10/28 02:53:30.461,N/A,1.940100534778627e-7
2024/10/28 02:53:31.136,1173.8011,N/A
2024/10/28 02:53:31.462,N/A,1.9399249163200806e-7
2024/10/28 02:53:32.136,1176.3494999999998,N/A
2024/10/28 02:53:32.461,N/A,1.94544093930271e-7
2024/10/28 02:53:33.136,1176.6888999999999,N/A
2024/10/28 02:53:33.461,N/A,1.945740530660363e-7
2024/10/28 02:53:34.136,1178.7362999999998,N/A
2024/10/28 02:53:34.461,N/A,1.9470292993077412e-7
2024/10/28 02:53:35.136,1179.3009,N/A
2024/10/28 02:53:35.461,N/A,1.947515420250767e-7
2024/10/28 02:53:36.136,1180.9624999999999,N/A
2024/10/28 02:53:36.461,N/A,1.9459884092904176e-7
2024/10/28 02:53:37.136,1181.6482999999998,N/A
2024/10/28 02:53:37.461,N/A,1.9483025573833417e-7
2024/10/28 02:53:38.136,1183.8664,N/A
